Name/Flüssigkeiten;Cognac;Gin;Orangensaft;Zitronensaft;Rum;Wasser mit Kohlensäure;Wodka;Blue Curacao;Zuckersirup;Ananassaft;Cointreau;Grenadine(Sirup);Benedictine(Likör);Calvados;Apricot Brandy Likör;Cachaca;Kirschlikör;Dunkler Rum;Angostura;Kakaolikör;Sahne;Bitter Lemon;Limonade;Tequila;Ginger Ale;Limettensirup;Honig;Aperol;Tomatensaft;Worcestersauce;Tabasco;Brauner Rum;Minzlikör;Pfirsichlikör;Heißer Kakao;Heißer Kaffee;Kiwilikör;Batida de coco;Maracujasaft;Kaffee kalt;Cola;Heißer schwarzer Tee;Chambord(Likör);Limettensaft;Cranberrysaft;Creme de cassis(Likör);Grapefruitsaft;Tonic water;Trockener Wermut;Galliano;Cream of coconut;Maracujasirup;Heißes Wasser;Whiskey;Pisang Ambon;Triple Sec Curacao;Amarula wild fruit cream;Süßer Vermouth;Mandelsirup;Heiße Milch;Maraschino;Amaretto;Roter Wermut;Campari;Bananenlikör;Creme de bananes;Kahlua;Espresso
Sweet Heat;;;;2.5.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;;;;;;;;;;;;;;
Steaming Swamp;;;;;;;;;;;;;;;;6cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10cl;;;;;;;;;;;;;;;
Sex on the Beach;;;;;;;3;;;6;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;
Swimming Pool;;;;;;;4;4;;10;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;
Screw Driver;;;12;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sifi Flip;;3;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sidecar;2;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Singapore Sling;;4;;2;;2;;;;;;1cl;0.25;;;;;;0.25cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Silver Jubilee;;2;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;
Seven Seas;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;4;;;;;;;;;;;1;;
Tia Tropical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tropical Banana;;;;;;;;;;8;;;;;;4;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
Tom Collins;;5;;3;;2cl;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tequila Sour;;;;3;;1cl;;;1;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tequila Sunrise;;;12;1;;;;;;;;1;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trinidad Banana;;;3;;3;;;;;;;;;;;;;;0.25;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;
Vodka Gimlet;;;;;;;4cl;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
White Russian;;;;;;;3;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;
Wodka Espresso;;;;;;;5;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5.
White Lady;;4;;2cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
Whisky Sour;;;;3;;2cl;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4cl;;;;;;;;;;;;;;
Whisky Cocktail;;;;;;;;;0.5;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
